proponent_agency,project_location,project_type,area_hectare,submission_date,approval_date,approval_status,eds_count,environmental_risk_score
Sunrise Quarry Co,Rajnandgaon,Infrastructure,13.71,2024-02-21,,Referred,1,0.55
EcoBuild Developers,Ambikapur,Sand Mining,4.74,2023-08-24,,EDS,2,0.45
EcoBuild Developers,Jagdalpur,Sand Mining,1.99,2024-10-29,,Rejected,0,0.8
Riverbed Minerals Pvt,Korba,Infrastructure,1.59,2024-03-05,,EDS,3,0.57
EcoBuild Developers,Raigarh,Infrastructure,14.6,2024-01-31,,Referred,3,0.57
Raigarh Aggregates,Ambikapur,Brick Kiln,13.24,2024-06-09,,Under Scrutiny,0,0.54
Mahanadi Sand Works,Raigarh,Limestone Quarry,13.41,2023-06-02,,MoM Generated,2,0.86
Sunrise Quarry Co,Korba,Sand Mining,1.49,2023-08-08,,MoM Generated,3,0.66
Chhattisgarh Infra Group,Korba,Infrastructure,5.34,2023-05-01,,Rejected,0,0.63
Korba Limestone Corp,Raipur,Industrial Plant,9.38,2023-04-15,,Referred,3,0.62
Shiv Brick Industries,Kanker,Sand Mining,9.44,2024-09-16,,MoM Generated,3,0.81
Chhattisgarh Infra Group,Ambikapur,Brick Kiln,6.34,2023-01-01,,EDS,1,0.84
Korba Limestone Corp,Rajnandgaon,Brick Kiln,11.52,2024-10-22,,Referred,0,0.43
Green Earth Infrastructure,Bilaspur,Industrial Plant,10.54,2023-08-05,,Rejected,1,0.22
EcoBuild Developers,Bilaspur,Sand Mining,12.54,2024-07-16,,Under Scrutiny,0,0.58
Chhattisgarh Infra Group,Kanker,Brick Kiln,14.62,2023-10-12,,Rejected,0,0.8
Shakti Infra Projects,Kanker,Industrial Plant,6.02,2023-09-03,2023-11-15,Approved,1,0.86
Bastar Natural Resources,Raigarh,Limestone Quarry,2.56,2023-12-07,,EDS,1,0.3
Mahanadi Sand Works,Rajnandgaon,Sand Mining,11.1,2023-05-17,,EDS,2,0.39
Bastar Natural Resources,Bilaspur,Infrastructure,9.2,2023-04-26,,Rejected,0,0.66
Sunrise Quarry Co,Ambikapur,Industrial Plant,8.73,2023-07-22,,Under Scrutiny,0,0.81
Sunrise Quarry Co,Durg,Limestone Quarry,5.06,2024-11-12,,MoM Generated,3,0.43
